"fit","lwr","upr"
242.316850993595,211.352171342832,273.281530644357
245.595508701095,214.636455456286,276.554561945905
277.100546573331,246.144956240479,308.056136906182
273.3021725532,242.347880912209,304.25646419419
274.982913230429,244.02775578881,305.938070672047
304.380455850283,273.422268297148,335.338643403417
332.325411662377,301.362030322245,363.28879300251
331.625446230806,300.654708516737,362.596183944875
304.321810836231,273.34155570183,335.302065970632
277.069014739212,246.077083129013,308.060946349412
253.13816750156,222.132402799335,284.143932203784
279.544369928622,248.522618403154,310.566121454091
278.862526211838,247.657643720291,310.067408703385
282.415515191131,251.181187699733,313.64984268253
314.194884335159,282.926939368402,345.462829301916
310.670841586821,279.365120110965,341.976563062676
312.625913535842,281.278271553085,343.973555518599
342.297787427489,310.904097540668,373.69147731431
370.517074511376,339.073227456409,401.960921566343
370.091440351597,338.593346495016,401.589534208178
343.062136228814,311.505727027904,374.618545429725
316.083671403589,284.464900826791,347.702441980386
292.427155437728,260.742001343159,324.112309532297
319.107689136584,287.352154606671,350.863223666496
